project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Industrial Corridors,Rajasthan,Kota,109.97,140,0.91,0.62,1,0.71,0.98,0.38,0.45,0.27,153,0.2,1,228
Urban Infrastructure,Bihar,Patna,17.47,46,0.42,0.78,1,0.4,0.11,0.54,0.86,0.57,205,0.52,1,275
Mining,Bihar,Muzaffarpur,34.08,60,0.63,0.38,0,0.67,0.39,0.58,0.87,0.34,223,0.49,1,238
Solar Parks,Maharashtra,Thane,28.87,20,0.85,0.89,0,0.56,0.13,0.86,0.6,0.47,208,0.39,0,0
Solar Parks,Madhya Pradesh,Ujjain,13.97,16,0.48,0.61,1,0.52,0.85,0.59,0.46,0.44,129,0.15,0,0
Water Resources,Uttar Pradesh,Gorakhpur,38.4,46,0.2,0.67,1,0.99,0.63,0.49,0.71,0.94,249,0.17,1,283
Solar Parks,Tamil Nadu,Kanchipuram,45.32,81,0.42,0.27,0,0.55,0.14,0.97,0.87,0.68,110,0.4,1,158
Water Resources,Tamil Nadu,Madurai,22.78,50,0.22,0.44,1,0.13,0.65,0.97,0.66,0.57,194,0.13,1,208
Highways,West Bengal,Paschim Bardhaman,25.31,46,0.11,0.53,0,0.66,0.21,0.13,0.24,0.59,214,0.48,1,243
Water Resources,West Bengal,Howrah,53.54,61,0.74,0.52,1,0.76,0.55,0.74,0.79,0.65,256,0.18,0,0
Mining,Bihar,Darbhanga,6.82,28,0.3,0.81,1,0.9,0.7,0.43,0.91,0.85,208,0.6,0,0
Industrial Corridors,Bihar,Bhagalpur,16.84,47,0.1,0.42,1,0.67,0.23,0.71,0.42,0.31,128,0.59,1,263
Water Resources,Karnataka,Mysuru,39.28,63,0.84,0.34,1,0.12,0.55,0.67,0.68,0.65,204,0.23,0,0
Solar Parks,Karnataka,Bengaluru Urban,21.73,40,0.48,0.65,0,0.21,0.51,0.4,0.52,0.44,156,0.1,1,188
Mining,Madhya Pradesh,Bhopal,21.48,29,0.3,0.68,1,0.25,0.92,0.99,0.15,0.63,212,0.42,1,218
Water Resources,Karnataka,Bengaluru Urban,68.13,85,0.32,0.29,0,0.29,1.0,0.42,0.36,0.59,171,0.32,1,214
Water Resources,Uttar Pradesh,Varanasi,19.95,32,0.3,0.2,0,0.82,0.69,0.67,0.2,0.22,227,0.14,1,208
Solar Parks,Uttar Pradesh,Lucknow,161.31,169,0.27,0.92,0,0.38,0.87,0.83,0.66,0.64,164,0.37,0,0
Urban Infrastructure,Tamil Nadu,Kanchipuram,8.14,24,0.82,0.26,1,0.38,0.68,0.23,0.57,0.73,205,0.65,1,357
Urban Infrastructure,Odisha,Sundargarh,5.64,23,0.24,0.9,1,0.78,0.89,0.37,0.08,0.38,135,0.09,0,0
Water Resources,Uttar Pradesh,Varanasi,66.9,89,0.58,0.51,0,0.47,0.49,0.28,0.11,0.28,216,0.21,1,215
Urban Infrastructure,Gujarat,Ahmedabad,15.07,22,0.17,0.71,1,0.16,0.65,0.8,0.28,0.36,66,0.37,1,325
Railways,Bihar,Darbhanga,15.28,33,0.91,0.34,0,0.63,0.86,0.82,0.72,0.68,194,0.53,0,0
Solar Parks,West Bengal,Paschim Bardhaman,72.81,63,0.61,0.84,0,0.22,0.93,0.33,0.16,0.55,179,0.06,0,0
Railways,Karnataka,Belagavi,22.25,28,0.87,0.34,0,0.61,0.12,0.1,0.23,0.85,169,0.49,1,221
Mining,Tamil Nadu,Salem,68.6,99,0.44,0.5,1,0.8,0.19,0.48,0.87,0.41,65,0.13,1,202
Railways,Maharashtra,Pune,20.32,23,0.79,0.39,0,0.94,0.94,0.72,0.54,0.47,140,0.55,1,182
Mining,West Bengal,North 24 Parganas,44.26,40,0.83,0.85,0,0.16,0.61,0.66,0.61,0.6,217,0.47,1,197
Water Resources,Gujarat,Rajkot,22.0,24,0.7,0.87,0,0.37,0.99,0.5,0.46,0.55,125,0.32,0,0
Mining,Karnataka,Dakshina Kannada,15.87,30,0.18,0.49,0,0.69,0.81,0.37,0.32,0.61,96,0.54,0,0
Mining,Gujarat,Rajkot,132.22,226,0.11,0.44,0,0.38,0.84,0.53,0.27,0.43,114,0.49,1,169
Industrial Corridors,Bihar,Gaya,80.9,87,0.24,0.8,0,0.51,0.45,0.11,0.58,0.33,216,0.51,0,0
Railways,Bihar,Bhagalpur,18.52,27,0.2,0.89,0,0.12,0.33,0.17,0.47,0.8,183,0.22,1,171
Industrial Corridors,Madhya Pradesh,Indore,28.71,45,0.72,0.69,0,0.72,0.64,0.25,0.41,0.23,226,0.42,0,0
Water Resources,Tamil Nadu,Salem,107.88,217,0.57,0.92,1,0.89,0.89,0.66,0.67,0.48,194,0.13,1,174
Solar Parks,West Bengal,Howrah,15.02,32,0.55,0.5,1,0.98,0.75,0.3,0.41,0.27,123,0.54,1,228
Railways,Rajasthan,Jodhpur,15.69,18,0.31,0.32,0,0.85,0.52,0.48,0.08,0.75,245,0.37,0,0
Solar Parks,Rajasthan,Kota,48.23,28,0.23,0.34,0,0.13,0.78,0.66,0.81,0.47,135,0.54,1,249
Solar Parks,West Bengal,North 24 Parganas,203.65,155,0.28,0.72,1,0.69,0.72,0.85,0.34,0.22,125,0.18,1,251
Mining,Maharashtra,Nagpur,34.57,65,0.44,0.52,0,0.55,0.92,0.59,0.9,0.26,174,0.13,0,0
Railways,Tamil Nadu,Kanchipuram,76.7,53,0.73,0.32,0,0.94,0.34,0.26,0.84,0.35,181,0.46,0,0
Solar Parks,Gujarat,Kutch,14.67,16,0.32,0.43,1,0.91,0.21,0.96,0.26,0.79,200,0.09,0,0
Urban Infrastructure,Maharashtra,Nashik,44.21,86,0.69,0.61,1,0.99,0.52,0.18,0.92,0.8,147,0.2,1,277
Solar Parks,Odisha,Angul,24.84,44,0.52,0.29,0,0.88,0.42,0.43,0.82,0.95,226,0.6,0,0
Urban Infrastructure,West Bengal,Howrah,147.42,73,0.85,0.2,0,0.59,0.98,0.93,0.94,0.38,133,0.13,1,154
Railways,Gujarat,Rajkot,118.98,44,0.3,0.92,0,0.74,0.11,0.64,0.66,0.25,113,0.28,0,0
Water Resources,Rajasthan,Jodhpur,205.11,90,0.48,0.44,1,0.97,0.94,0.7,0.89,0.41,74,0.62,1,243
Industrial Corridors,Uttar Pradesh,Agra,18.98,45,0.18,0.37,1,0.62,0.96,0.37,0.67,0.33,152,0.06,1,197
Railways,Madhya Pradesh,Jabalpur,34.07,54,0.38,0.74,0,0.86,0.15,0.17,0.82,0.73,200,0.32,0,0
Industrial Corridors,Rajasthan,Udaipur,44.71,71,0.53,0.87,0,0.95,0.9,0.43,0.6,0.93,194,0.52,0,0
Industrial Corridors,Tamil Nadu,Madurai,19.59,41,0.72,0.69,1,0.61,0.52,0.46,0.89,0.4,176,0.6,0,0
Railways,Bihar,Patna,36.78,51,0.27,0.4,0,0.24,0.79,0.34,0.52,0.45,141,0.49,1,194
Solar Parks,Uttar Pradesh,Varanasi,68.52,50,0.29,0.87,0,0.24,0.17,0.29,0.71,0.46,218,0.58,0,0
Highways,Madhya Pradesh,Gwalior,21.32,48,0.64,0.6,1,0.2,0.96,0.42,0.88,0.84,165,0.07,0,0
Solar Parks,Madhya Pradesh,Gwalior,18.87,34,0.43,0.5,1,0.53,0.65,0.68,0.43,0.63,179,0.11,0,0
Solar Parks,Odisha,Angul,17.89,41,0.51,0.67,1,0.53,0.91,0.95,0.07,0.93,109,0.49,1,201
Water Resources,Odisha,Bhubaneswar,11.3,15,0.81,0.75,0,0.66,0.71,0.73,0.15,0.67,78,0.5,0,0
Mining,Karnataka,Belagavi,65.57,86,0.52,0.66,1,0.53,0.58,0.8,0.92,0.73,200,0.41,0,0
Mining,Rajasthan,Udaipur,18.83,61,0.65,0.92,0,0.98,0.26,0.38,0.84,0.27,275,0.49,1,210
Solar Parks,Rajasthan,Kota,17.31,14,0.66,0.69,0,0.36,0.26,0.19,0.49,0.91,182,0.56,1,226
Urban Infrastructure,Rajasthan,Bhilwara,50.56,94,0.78,0.89,0,0.89,0.53,0.36,0.91,0.67,201,0.38,1,149
Water Resources,Karnataka,Bengaluru Urban,32.84,47,0.64,0.66,1,0.19,0.88,0.46,0.22,0.59,200,0.62,1,311
Industrial Corridors,Maharashtra,Nagpur,21.75,37,0.16,0.46,0,0.64,0.2,0.72,0.15,0.49,165,0.47,1,208
Mining,Madhya Pradesh,Indore,63.34,45,0.39,0.62,0,0.68,1.0,0.95,0.59,0.26,92,0.33,0,0
Solar Parks,Uttar Pradesh,Agra,21.07,26,0.94,0.27,0,0.8,0.89,0.83,0.39,0.3,195,0.3,0,0
Water Resources,Tamil Nadu,Madurai,5.8,22,0.27,0.38,0,0.55,0.45,0.34,0.36,0.21,231,0.5,0,0
Highways,Madhya Pradesh,Bhopal,96.22,102,0.6,0.8,0,0.28,0.33,0.84,0.71,0.95,186,0.43,0,0
Urban Infrastructure,Odisha,Cuttack,17.07,31,0.82,0.72,0,0.43,0.93,0.47,0.19,0.79,153,0.54,0,0
Railways,Gujarat,Rajkot,18.63,27,0.6,0.33,1,0.34,0.21,0.26,0.75,0.8,182,0.52,1,281
Solar Parks,Bihar,Bhagalpur,18.7,39,0.42,0.54,0,0.48,0.41,0.52,0.37,0.75,160,0.36,0,0
Water Resources,Karnataka,Mysuru,34.73,44,0.17,0.31,0,0.58,0.18,0.61,0.94,0.56,222,0.62,0,0
Solar Parks,West Bengal,Paschim Bardhaman,26.59,48,0.41,0.87,0,0.66,0.96,0.79,0.78,0.27,173,0.47,0,0
Industrial Corridors,Gujarat,Kutch,73.0,47,0.25,0.29,1,0.86,0.66,0.41,0.63,0.25,196,0.17,1,229
Urban Infrastructure,Tamil Nadu,Tiruchirappalli,123.48,101,0.92,0.71,1,0.92,0.4,0.23,0.26,0.89,215,0.42,1,259
Mining,Rajasthan,Jaipur,19.23,11,0.71,0.67,0,0.52,0.35,0.18,0.91,0.2,196,0.17,0,0
Mining,Odisha,Sundargarh,15.64,18,0.74,0.57,1,0.18,0.5,0.2,0.08,0.72,167,0.39,1,273
Mining,Odisha,Sundargarh,21.81,36,0.47,0.42,0,0.82,0.18,0.96,0.25,0.67,96,0.52,0,0
Railways,Odisha,Sundargarh,47.05,33,0.19,0.52,0,0.53,0.9,0.96,0.08,0.58,184,0.54,0,0
Water Resources,Rajasthan,Bhilwara,30.17,38,0.33,0.83,0,0.59,0.56,0.97,0.92,0.93,206,0.44,0,0
Urban Infrastructure,West Bengal,Hooghly,22.19,43,0.32,0.79,1,0.64,0.75,0.37,0.83,0.35,92,0.52,1,224
Urban Infrastructure,Karnataka,Belagavi,11.73,25,0.51,0.78,1,0.7,0.31,0.27,0.91,0.79,183,0.33,1,228
Mining,Gujarat,Kutch,5.66,17,0.49,0.78,0,0.9,0.55,0.98,0.69,0.71,164,0.38,0,0
Mining,Rajasthan,Jodhpur,14.82,18,0.47,0.31,0,0.96,0.29,0.99,0.07,0.93,62,0.58,0,0
Industrial Corridors,Tamil Nadu,Tiruchirappalli,91.06,142,0.52,0.28,0,0.95,0.83,0.17,0.89,0.9,179,0.35,1,235
Highways,Karnataka,Bengaluru Urban,46.94,41,0.94,0.87,0,0.83,0.8,0.78,0.43,0.3,226,0.26,0,0
Highways,Tamil Nadu,Coimbatore,28.41,72,0.35,0.85,0,0.9,0.23,0.36,0.38,0.43,165,0.53,1,241
Solar Parks,Karnataka,Bengaluru Urban,59.37,97,0.62,0.73,1,0.14,0.17,0.92,0.31,0.84,71,0.08,1,246
Solar Parks,West Bengal,Paschim Bardhaman,11.82,31,0.3,0.67,0,0.86,0.84,0.18,0.31,0.37,180,0.63,1,267
Urban Infrastructure,Bihar,Darbhanga,34.65,39,0.5,0.49,1,0.17,0.2,0.9,0.77,0.48,213,0.25,0,0
Urban Infrastructure,Tamil Nadu,Salem,7.93,10,0.27,0.37,1,0.77,0.59,0.1,0.28,0.67,126,0.43,0,0
Railways,Rajasthan,Udaipur,43.68,45,0.57,0.72,0,0.25,0.58,0.57,0.25,0.62,153,0.46,1,220
Railways,Karnataka,Bengaluru Urban,40.76,60,0.33,0.91,0,0.42,0.28,0.4,0.68,0.68,147,0.13,0,0
Highways,Odisha,Angul,41.54,53,0.13,0.54,0,0.27,0.63,0.48,0.31,0.74,168,0.54,0,0
Solar Parks,Madhya Pradesh,Gwalior,84.28,138,0.79,0.44,1,0.5,0.55,0.49,0.06,0.75,146,0.39,1,250
Highways,Odisha,Angul,61.61,52,0.21,0.41,1,0.47,0.56,0.69,0.89,0.75,223,0.25,0,0
Highways,Maharashtra,Pune,12.59,27,0.41,0.22,0,0.14,0.42,0.12,0.33,0.94,222,0.56,0,0
Solar Parks,Bihar,Muzaffarpur,85.3,45,0.51,0.61,0,0.85,0.85,0.72,0.74,0.47,135,0.43,0,0
Water Resources,Bihar,Darbhanga,28.01,42,0.47,0.97,1,0.87,0.18,0.12,0.47,0.23,223,0.52,0,0
Railways,Odisha,Sundargarh,6.85,18,0.72,0.84,0,0.81,0.49,0.27,0.17,0.46,88,0.65,0,0
Industrial Corridors,Gujarat,Rajkot,30.36,72,0.61,0.9,0,0.86,0.33,0.65,0.65,0.88,126,0.13,0,0
Industrial Corridors,West Bengal,Murshidabad,55.57,79,0.35,0.68,0,0.78,0.86,0.18,0.26,0.26,191,0.5,1,206
Industrial Corridors,Tamil Nadu,Salem,14.72,7,0.14,0.58,0,0.94,0.3,0.99,0.31,0.69,167,0.5,0,0
Solar Parks,Rajasthan,Jodhpur,96.19,134,0.75,0.97,0,0.62,0.79,0.81,0.08,0.52,169,0.57,1,168
Mining,Bihar,Muzaffarpur,15.82,25,0.4,0.55,0,0.62,0.65,0.74,0.06,0.89,180,0.29,0,0
Mining,Odisha,Bhubaneswar,22.54,19,0.86,0.92,0,0.87,0.89,0.34,0.51,0.9,141,0.57,0,0
Mining,Odisha,Sundargarh,19.46,31,0.44,0.79,0,0.41,0.63,0.14,0.1,0.79,219,0.43,0,0
Urban Infrastructure,West Bengal,Hooghly,8.44,16,0.71,0.46,0,0.15,0.6,0.98,0.24,0.27,194,0.09,0,0
Railways,West Bengal,Murshidabad,14.96,14,0.9,0.59,0,0.77,0.82,0.23,0.88,0.22,158,0.07,0,0
Railways,Uttar Pradesh,Varanasi,18.74,55,0.65,0.5,1,0.33,0.61,0.85,0.12,0.3,205,0.34,0,0
Water Resources,Uttar Pradesh,Lucknow,29.84,49,0.45,0.31,0,0.53,0.86,0.28,0.31,0.44,183,0.52,0,0
Water Resources,Gujarat,Rajkot,3.0,1,0.58,0.48,0,0.32,0.14,0.44,0.7,0.38,152,0.28,0,0
Urban Infrastructure,Gujarat,Vadodara,58.75,77,0.56,0.89,1,0.84,0.55,0.72,0.85,0.48,150,0.56,1,194
Highways,Maharashtra,Nagpur,58.28,40,0.6,0.79,0,0.96,0.83,0.95,0.09,0.31,111,0.35,0,0
Water Resources,Gujarat,Vadodara,85.21,160,0.22,0.42,1,0.15,0.86,0.12,0.22,0.76,135,0.07,0,0
Industrial Corridors,Karnataka,Ballari,10.04,27,0.69,0.49,1,0.31,0.85,0.33,0.4,0.83,155,0.63,1,282
Mining,West Bengal,Howrah,26.2,18,0.22,0.68,0,0.27,0.64,0.79,0.37,0.57,167,0.34,1,153
Industrial Corridors,Rajasthan,Jodhpur,70.33,51,0.11,0.52,0,0.71,0.99,0.26,0.31,0.92,122,0.44,0,0
Mining,Karnataka,Ballari,75.34,31,0.63,0.59,0,0.49,0.26,0.2,0.27,0.29,165,0.17,1,203
Industrial Corridors,Tamil Nadu,Kanchipuram,108.11,129,0.2,0.74,1,0.51,0.26,0.14,0.29,0.28,138,0.23,0,0
Highways,Odisha,Sundargarh,35.95,77,0.75,0.56,0,0.24,0.13,0.55,0.17,0.35,131,0.34,1,243
Industrial Corridors,Gujarat,Kutch,31.67,36,0.84,0.35,1,0.47,0.99,0.79,0.2,0.94,186,0.56,1,296
Industrial Corridors,Odisha,Sundargarh,9.52,13,0.9,0.61,0,0.37,0.41,0.97,0.6,0.51,171,0.11,0,0
Solar Parks,Bihar,Bhagalpur,77.63,61,0.66,0.48,0,0.65,0.79,0.34,0.31,0.89,157,0.52,0,0
Industrial Corridors,Maharashtra,Nagpur,22.91,26,0.51,0.43,0,0.3,0.15,0.21,0.41,0.35,186,0.4,1,292
Solar Parks,Bihar,Patna,34.03,56,0.4,0.46,1,0.65,0.37,0.46,0.42,0.83,105,0.35,1,316
Railways,Maharashtra,Pune,32.26,54,0.52,0.54,0,0.44,0.66,0.15,0.15,0.43,109,0.58,1,229
Urban Infrastructure,Uttar Pradesh,Gorakhpur,4.88,23,0.26,0.89,0,0.41,0.57,0.4,0.79,0.75,145,0.12,0,0
Industrial Corridors,Odisha,Bhubaneswar,17.3,42,0.4,0.77,1,0.38,0.29,0.68,0.91,0.93,155,0.64,0,0
Railways,Maharashtra,Thane,47.61,102,0.71,0.72,1,0.71,0.52,0.25,0.29,0.9,194,0.56,1,346
Water Resources,Madhya Pradesh,Gwalior,31.85,66,0.28,0.57,0,0.61,0.2,0.67,0.31,0.82,131,0.25,1,248
Water Resources,Karnataka,Belagavi,47.92,80,0.32,0.2,0,0.87,0.59,0.97,0.67,0.24,132,0.32,0,0
Solar Parks,Maharashtra,Pune,62.0,117,0.74,0.47,1,0.32,0.19,0.88,0.12,0.66,209,0.07,1,246
Industrial Corridors,Maharashtra,Pune,17.14,13,0.25,0.83,1,0.14,0.67,0.42,0.87,0.83,111,0.37,0,0
Industrial Corridors,Karnataka,Mysuru,21.93,24,0.31,0.5,0,0.26,0.24,0.48,0.16,0.5,205,0.38,1,199
Highways,Odisha,Angul,29.58,30,0.11,0.64,0,0.41,0.59,0.48,0.71,0.75,160,0.61,0,0
Railways,Odisha,Angul,61.49,91,0.71,0.36,0,0.26,0.22,0.87,0.31,0.3,124,0.28,0,0
Mining,Karnataka,Dakshina Kannada,27.46,43,0.63,0.91,0,0.18,0.46,0.99,0.34,0.33,110,0.39,1,207
Mining,Bihar,Gaya,7.97,23,0.69,0.92,0,0.5,0.42,0.84,0.18,0.68,151,0.49,0,0
Highways,Madhya Pradesh,Ujjain,28.26,50,0.28,0.31,0,0.71,0.78,0.6,0.63,0.53,189,0.42,1,208
Solar Parks,Rajasthan,Udaipur,59.54,77,0.68,0.76,0,0.78,0.68,0.19,0.77,0.36,159,0.14,0,0
Mining,Tamil Nadu,Coimbatore,98.06,52,0.61,0.26,0,0.46,0.94,0.96,0.91,0.41,201,0.15,1,145
Mining,Madhya Pradesh,Jabalpur,41.45,56,0.41,0.67,1,0.53,0.93,0.87,0.35,0.66,199,0.13,0,0
Water Resources,Odisha,Sundargarh,10.09,31,0.47,0.34,0,0.78,0.75,0.86,0.61,0.74,196,0.18,0,0
Water Resources,Rajasthan,Bhilwara,23.92,16,0.58,0.31,1,0.42,0.79,0.45,0.42,0.36,198,0.25,1,243
Urban Infrastructure,Uttar Pradesh,Kanpur,48.43,91,0.52,0.2,0,0.81,0.66,0.5,0.55,0.92,135,0.49,0,0
Railways,Gujarat,Vadodara,66.22,126,0.65,0.93,0,0.97,0.72,0.21,0.2,0.21,195,0.09,0,0
Solar Parks,Maharashtra,Nashik,49.68,78,0.25,0.85,0,0.89,0.66,0.94,0.57,0.73,255,0.54,0,0
Industrial Corridors,Karnataka,Mysuru,27.08,48,0.56,0.26,1,0.51,0.38,0.95,0.81,0.42,203,0.21,1,232
Railways,Karnataka,Ballari,65.81,110,0.48,0.67,1,0.62,0.42,0.33,0.83,0.56,142,0.42,1,231
Solar Parks,Maharashtra,Aurangabad,19.84,33,0.49,0.38,1,0.74,0.62,0.73,0.49,0.63,133,0.38,1,322
Mining,Gujarat,Vadodara,38.39,59,0.5,0.41,1,0.41,0.75,0.28,0.26,0.62,165,0.14,1,243
Urban Infrastructure,Tamil Nadu,Salem,60.33,100,0.85,0.88,0,0.82,0.47,0.45,0.8,0.78,194,0.22,0,0
Railways,Gujarat,Kutch,52.53,83,0.8,0.29,1,0.49,0.23,0.37,0.95,0.82,168,0.23,1,273
Mining,Rajasthan,Bhilwara,53.48,55,0.64,0.67,1,0.86,0.51,0.45,0.39,0.26,110,0.42,1,274
Solar Parks,Gujarat,Vadodara,52.41,75,0.71,0.51,1,0.33,0.97,0.38,0.88,0.73,194,0.52,1,216
Railways,Rajasthan,Udaipur,14.31,25,0.14,0.35,0,0.11,0.29,0.41,0.94,0.5,202,0.65,0,0
Industrial Corridors,Gujarat,Surat,33.58,44,0.73,0.55,0,0.67,0.68,0.81,0.41,0.81,120,0.11,0,0
Railways,Tamil Nadu,Salem,16.0,34,0.51,0.93,0,0.51,0.98,0.37,0.69,0.66,203,0.61,1,182
Mining,Tamil Nadu,Salem,26.27,36,0.37,0.81,1,0.15,0.44,0.83,0.57,0.21,165,0.39,1,226
Railways,Odisha,Bhubaneswar,13.0,49,0.22,0.3,0,0.54,0.9,0.61,0.7,0.7,181,0.26,0,0
Industrial Corridors,Maharashtra,Aurangabad,43.64,50,0.16,0.86,0,0.25,0.88,0.8,0.19,0.89,182,0.22,0,0
Urban Infrastructure,Tamil Nadu,Madurai,6.87,5,0.14,0.93,0,0.67,0.41,0.93,0.38,0.26,172,0.18,0,0
Urban Infrastructure,Rajasthan,Bhilwara,54.26,57,0.24,0.42,0,0.5,0.19,0.22,0.11,0.57,142,0.38,1,218
Mining,Tamil Nadu,Tiruchirappalli,33.52,74,0.13,0.46,0,0.25,0.26,0.41,0.6,0.67,182,0.62,0,0
Solar Parks,Odisha,Bhubaneswar,151.67,208,0.72,0.3,1,0.47,0.43,0.15,0.88,0.35,162,0.16,1,278
Mining,Karnataka,Bengaluru Urban,28.12,41,0.31,0.47,1,0.31,0.96,0.47,0.55,0.69,174,0.31,1,249
Urban Infrastructure,Rajasthan,Kota,28.11,45,0.41,0.73,0,0.69,0.35,0.31,0.11,0.24,147,0.17,0,0
Highways,Odisha,Angul,57.17,47,0.8,0.41,1,0.37,0.93,0.61,0.89,0.88,177,0.16,1,235
Highways,Bihar,Darbhanga,29.45,36,0.2,0.21,0,0.84,0.26,0.81,0.17,0.77,159,0.57,1,170
Railways,Bihar,Patna,41.26,49,0.81,0.46,1,0.11,0.97,0.54,0.84,0.91,114,0.21,1,277
Industrial Corridors,Uttar Pradesh,Varanasi,73.37,118,0.64,0.55,0,0.46,0.36,0.4,0.69,0.51,184,0.2,0,0
Water Resources,Gujarat,Ahmedabad,26.74,41,0.39,0.64,0,0.66,0.67,0.24,0.62,0.23,208,0.6,1,204
Water Resources,Maharashtra,Pune,86.16,69,0.2,0.73,0,0.12,0.16,0.12,0.58,0.46,178,0.28,1,189
Water Resources,West Bengal,Murshidabad,8.64,30,0.18,0.25,1,0.29,0.37,0.71,0.17,0.59,152,0.06,1,272
Railways,Madhya Pradesh,Gwalior,119.44,72,0.39,0.57,0,0.39,0.29,0.13,0.5,0.9,178,0.48,0,0
Highways,Odisha,Jharsuguda,7.92,32,0.22,0.41,0,0.12,0.1,0.93,0.23,0.86,130,0.36,0,0
Urban Infrastructure,Karnataka,Mysuru,97.69,34,0.33,0.94,0,0.59,0.24,0.63,0.56,0.65,196,0.51,0,0
Railways,Madhya Pradesh,Jabalpur,7.44,31,0.15,0.48,0,0.67,0.63,0.42,0.45,0.75,200,0.39,0,0
Water Resources,Karnataka,Bengaluru Urban,161.49,165,0.61,0.28,0,0.3,0.45,0.14,0.66,0.92,158,0.26,1,251
Water Resources,Madhya Pradesh,Indore,37.66,56,0.22,0.23,0,0.59,0.75,0.47,0.93,0.84,166,0.09,0,0
Mining,Odisha,Sundargarh,15.55,44,0.74,0.41,1,1.0,0.7,0.88,0.37,0.69,114,0.57,1,223
Water Resources,West Bengal,Hooghly,147.24,154,0.29,0.34,0,0.9,0.82,0.97,0.61,0.61,186,0.17,0,0
Industrial Corridors,Madhya Pradesh,Indore,13.86,26,0.78,0.71,0,0.15,0.88,0.18,0.83,0.56,150,0.63,1,188
Water Resources,Odisha,Jharsuguda,27.61,39,0.26,0.86,0,0.22,0.84,0.8,0.13,0.77,46,0.2,1,188
Mining,Tamil Nadu,Salem,266.07,483,0.71,0.44,1,0.54,0.5,0.33,0.77,0.81,165,0.55,1,264
Water Resources,West Bengal,Paschim Bardhaman,45.44,35,0.38,0.65,0,0.32,0.38,0.44,0.27,0.36,155,0.52,0,0
Industrial Corridors,Rajasthan,Jaipur,6.55,9,0.6,0.77,0,0.17,0.55,0.59,0.54,0.56,115,0.33,0,0
Urban Infrastructure,Karnataka,Ballari,26.61,39,0.13,0.51,0,0.33,0.58,1.0,0.94,0.78,204,0.29,0,0
Railways,Bihar,Patna,24.79,42,0.52,0.25,0,0.16,0.38,0.29,0.94,0.71,141,0.47,0,0
Industrial Corridors,Gujarat,Vadodara,38.51,82,0.23,0.38,0,0.58,0.59,0.22,0.33,0.64,127,0.37,1,230
Mining,Bihar,Darbhanga,31.96,42,0.51,0.89,0,0.54,0.2,0.64,0.17,0.44,210,0.43,1,185
Railways,West Bengal,Howrah,51.25,64,0.22,0.84,1,0.11,0.31,0.87,0.89,0.66,179,0.33,1,231
Railways,Rajasthan,Jaipur,9.75,20,0.47,0.27,0,0.53,0.77,0.68,0.85,0.66,116,0.38,1,231
Mining,Karnataka,Mysuru,21.36,28,0.19,0.37,0,0.57,0.26,0.41,0.6,0.52,160,0.16,0,0
Highways,Rajasthan,Bhilwara,42.5,66,0.29,0.8,0,0.65,0.23,0.98,0.08,0.92,125,0.08,0,0
Water Resources,Madhya Pradesh,Jabalpur,18.0,43,0.61,0.58,0,0.97,0.36,1.0,0.73,0.69,104,0.26,0,0
Industrial Corridors,Karnataka,Ballari,79.58,124,0.93,0.79,1,0.98,0.43,0.79,0.19,0.84,101,0.33,0,0
Mining,Madhya Pradesh,Bhopal,18.29,38,0.48,0.36,0,0.57,0.4,0.82,0.9,0.3,191,0.59,1,250
Urban Infrastructure,Odisha,Bhubaneswar,37.14,27,0.68,0.94,0,0.86,0.44,0.78,0.44,0.77,125,0.3,0,0
Solar Parks,West Bengal,Hooghly,30.45,51,0.56,0.81,0,0.18,0.23,0.33,0.6,0.65,116,0.31,0,0
Mining,Odisha,Jharsuguda,14.71,53,0.52,0.35,1,0.58,0.25,0.24,0.3,0.43,150,0.45,1,267
Water Resources,Uttar Pradesh,Agra,34.76,44,0.15,0.64,0,0.71,0.31,0.6,0.48,0.3,276,0.17,1,169
Water Resources,Rajasthan,Udaipur,11.59,40,0.22,0.29,0,0.61,0.46,0.96,0.73,0.48,181,0.57,0,0
Railways,Madhya Pradesh,Jabalpur,23.22,35,0.85,0.48,0,0.31,0.4,0.89,0.49,0.53,197,0.31,1,192
Railways,Tamil Nadu,Kanchipuram,33.93,68,0.45,0.71,0,0.16,0.81,0.2,0.81,0.31,118,0.61,0,0
Mining,Odisha,Cuttack,10.57,33,0.62,0.46,0,0.45,0.57,0.15,0.69,0.7,180,0.21,1,232
Solar Parks,Uttar Pradesh,Agra,54.53,61,0.55,0.71,0,0.68,0.62,0.89,0.12,0.43,160,0.33,0,0
Mining,Maharashtra,Pune,40.78,54,0.42,0.39,0,0.99,0.6,0.65,0.6,0.8,129,0.52,0,0
Solar Parks,Bihar,Bhagalpur,50.68,109,0.43,0.76,1,0.31,0.46,0.37,0.6,0.69,151,0.38,1,250
Solar Parks,Karnataka,Bengaluru Urban,33.18,47,0.57,0.48,1,0.93,0.98,0.61,0.39,0.43,131,0.45,0,0
Water Resources,Uttar Pradesh,Varanasi,13.19,24,0.22,0.82,0,0.16,0.13,0.3,0.34,0.47,166,0.22,1,226
Water Resources,West Bengal,Howrah,33.11,29,0.43,0.31,0,0.94,0.29,0.95,0.11,0.91,151,0.25,0,0
